"threshold","precision","recall","f1"
0.05,0.320736672943635,0.985101744186046,0.483916312763568
0.055,0.328060084708927,0.982739825581395,0.491909875635653
0.06,0.335546830486175,0.980801841085271,0.500027015970298
0.065,0.342508876994011,0.978500484496124,0.50740761095714
0.07,0.349213229875591,0.97577519379845,0.514349561053472
0.075,0.356015200026589,0.973080184108527,0.521303949321502
0.08,0.362062731627949,0.970324612403101,0.527351721413995
0.085,0.368723976055087,0.968023255813954,0.534032725541458
0.09,0.375130973263795,0.964874031007752,0.540228033738821
0.095,0.381031274386218,0.961058624031008,0.545706204489378
0.1,0.387486682097065,0.95812136627907,0.551808930860387
0.105,0.393142373008061,0.955486918604651,0.557072869311912
0.11,0.399152520869808,0.952701065891473,0.56259499669188
0.115,0.404785861713106,0.950187742248062,0.567719641047909
0.12,0.410733053074094,0.946735707364341,0.572912849080114
0.125,0.416477257534027,0.943253391472868,0.57782559498414
0.13,0.422535978324506,0.939740794573643,0.582956861492801
0.135,0.427790312980164,0.935804263565892,0.58716572459982
0.14,0.43363954012624,0.931988856589147,0.591884615384615
0.145,0.438732404450618,0.927749515503876,0.595739716305162
0.15,0.444151800005821,0.924267199612403,0.599984274566076
0.155,0.449860930287608,0.920754602713178,0.604416792557844
0.16,0.455212436479538,0.916848352713178,0.608370672506982
0.165,0.460499579864029,0.912730135658915,0.612150813879101
0.17,0.465960219691563,0.909429505813954,0.616200578592093
0.175,0.471552281653706,0.905250726744186,0.62009313323861
0.18,0.477089942003909,0.901738129844961,0.624022966828021
0.185,0.482081564263986,0.897377664728682,0.627215678804618
0.19,0.487773445244862,0.893955910852713,0.631162611707359
0.195,0.492267479851884,0.889656007751938,0.633824846020257
0.2,0.49744819842809,0.885446947674419,0.637017188419058
0.205,0.502495208164252,0.881177325581395,0.640017594985429
0.21,0.507740860874901,0.876907703488372,0.643111737860736
0.215,0.512523570640766,0.872426114341085,0.645711468208611
0.22,0.517565248803396,0.867702277131783,0.648383848668952
0.225,0.522040359977272,0.862463662790698,0.650400191818047
0.23,0.526544805400078,0.857437015503876,0.652434879782491
0.235,0.530993489951882,0.852107558139535,0.654274055731873
0.24,0.535599448782728,0.847383720930233,0.656346749226006
0.245,0.540506402907056,0.842266230620155,0.658460081671303
0.25,0.544981368663867,0.83702761627907,0.660146874440265
0.255,0.549756868709103,0.831910125968992,0.662023928575732
0.26,0.554090835229119,0.826035610465116,0.663270764442715
0.265,0.558904730509313,0.821432897286822,0.665203531142717
