"metrica","valor"
"AUC-ROC",0.9253
"AUC-PR",0.7676
"Precision",0.5979
"Recall",0.8239
"F1",0.6929
"Accuracy",0.8538
"Threshold",0.25
"Tasa base (Pobre)",0.2002
