"fold","precision","recall","f1","n"
"Fold1",0.679004567648449,0.652687358062074,0.665585919407133,32992
"Fold2",0.671781494552708,0.662931556632344,0.66732718542794,32991
"Fold3",0.670656844689994,0.661619984859955,0.666107766176358,32992
"Fold4",0.674107142857143,0.662982588947767,0.668498587894054,32993
"Fold5",0.682404784387787,0.656472369417108,0.669187437302261,32992
