"decil","prob_media","tasa_obs","n"
1,0.000233906877874063,0.000121241513094083,16496
2,0.00144059215782124,0.00115179437439379,16496
3,0.00506858969588344,0.00460717749757517,16496
4,0.0135179822053467,0.0142458777885548,16496
5,0.0312848937901859,0.0339476236663434,16496
6,0.0692352858242406,0.0778976721629486,16496
7,0.149077313959826,0.163372938894277,16496
8,0.303955593707345,0.318198351115422,16496
9,0.560239378702542,0.548193501454898,16496
10,0.857821697262626,0.840203685741998,16496
